config,seed,auprc,roc_auc,precision_at_alert,recall_at_alert,f2
1_supervisado_desde_cero,0,0.3552333281834819,0.8687542700979277,0.6593406593406593,0.2727272727272727,0.30895983522142123
1_supervisado_desde_cero,1,0.3493401299091872,0.8663624976708556,0.6483516483516484,0.2681818181818182,0.3038105046343975
1_supervisado_desde_cero,2,0.348321756533925,0.8654059957350779,0.6813186813186813,0.2818181818181818,0.3192584963954686
2_solo_etapa_a,0,0.06142681816611537,0.737487319103124,0.06593406593406594,0.02727272727272727,0.030895983522142123
2_solo_etapa_a,1,0.05948003813274571,0.7319719053435745,0.07692307692307693,0.031818181818181815,0.03604531410916581
2_solo_etapa_a,2,0.05921549655397553,0.7324837995072566,0.07692307692307693,0.031818181818181815,0.03604531410916581
3_congelado,0,0.10652517334491876,0.7315381669116582,0.24175824175824176,0.1,0.11328527291452112
3_congelado,1,0.08064456404314665,0.7148511417983064,0.14285714285714285,0.05909090909090909,0.06694129763130793
3_congelado,2,0.08584401175563175,0.7060658682014865,0.18681318681318682,0.07727272727272727,0.08753861997940268
4_finetune,0,0.35243467851756455,0.8734141115090784,0.6153846153846154,0.2545454545454545,0.2883625128733265
4_finetune,1,0.343176314752665,0.8748882010724416,0.6483516483516484,0.2681818181818182,0.3038105046343975
4_finetune,2,0.32836196799360934,0.8611436616219126,0.6373626373626373,0.2636363636363636,0.29866117404737386
5_finetune_recon,0,0.379558944300759,0.9065480010765824,0.6043956043956044,0.25,0.28321318228630277
5_finetune_recon,1,0.37770754071639284,0.9062506469845345,0.6263736263736264,0.2590909090909091,0.29351184346035014
5_finetune_recon,2,0.3567011140122902,0.8913966584542763,0.6373626373626373,0.2636363636363636,0.29866117404737386
